Time,"Temp:Edge,0","Temp:Tctl,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11
2025-06-25_16:07:08,34.0,49.2,3160.7,3007.0,3007.0,3007.0,4506.0,3623.2,3007.0,3007.0,3007.0,3007.0,3007.0,3620.9,3007.0,0.1,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-25_16:07:10,34.0,45.9,3109.3,3007.0,3619.5,3007.0,3619.7,3007.0,3007.0,3007.0,3007.0,3007.0,3622.6,3007.0,3007.0,0.3,0.0,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2025-06-25_16:07:12,34.0,43.1,3058.2,3007.0,3007.0,3007.0,3621.5,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,0.1,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-25_16:07:14,34.0,41.2,3109.5,3007.0,3007.0,3007.0,3623.6,3620.7,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,0.5,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
2025-06-25_16:07:16,34.0,39.8,3115.8,3007.0,3007.0,3622.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3697.9,3007.0,3007.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2025-06-25_16:07:18,33.0,38.5,3105.9,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,4193.3,3007.0,3007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
2025-06-25_16:07:20,33.0,37.6,3058.4,3007.0,3007.0,3007.0,3007.0,3624.2,3007.0,3007.0,3007.0,3007.0,4443.3,3007.0,3007.0,0.1,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2025-06-25_16:07:22,33.0,36.9,3109.3,3007.0,3007.0,3620.5,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3621.1,3007.0,3007.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
2025-06-25_16:07:24,33.0,36.4,3058.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3619.4,3007.0,3007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2025-06-25_16:07:26,33.0,36.0,3109.7,3007.0,3007.0,3007.0,3007.0,3621.1,3007.0,3007.0,3007.0,3007.0,3625.0,3007.0,3007.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2025-06-25_16:07:28,33.0,35.9,3112.9,3007.0,3007.0,3007.0,3007.0,3622.5,3007.0,3007.0,3007.0,3007.0,3661.8,3007.0,3007.0,0.5,0.0,0.0,0.0,4.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025-06-25_16:07:30,33.0,35.6,3145.6,3007.0,3007.0,3007.0,3007.0,3623.9,3007.0,3007.0,3007.0,3007.0,4322.5,3436.8,3007.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2025-06-25_16:07:32,33.0,35.5,3109.6,3007.0,3007.0,3007.0,3007.0,3623.2,3007.0,3007.0,3007.0,3007.0,4676.9,3007.0,3007.0,0.1,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2025-06-25_16:07:34,33.0,36.2,3144.0,3649.9,3007.0,3007.0,3608.7,3609.1,3007.0,3007.0,3007.0,3007.0,2803.8,3007.0,3007.0,0.2,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
2025-06-25_16:07:36,33.0,35.9,3058.6,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3625.7,3007.0,3007.0,0.1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025-06-25_16:07:38,33.0,35.6,3157.9,3007.0,3007.0,3007.0,3007.0,4078.0,3007.0,3007.0,3007.0,3007.0,3747.0,3007.0,3007.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
